dataset,seed,status,algo,model,base_f1,mba_f1,gain,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,base_stop_epoch,mba_stop_epoch,f1_gain_pct,base_best_val_f1,mba_best_val_f1,fail_reason,requested_k_dir,effective_k_dir
articularywordrecognition,1,success,lraes,timesnet,0.983427424749164,0.9800882943143812,-0.0033391304347826,0.0002719014071325,0.0271020957061813,1.1314095878729988,0.2141565375873576,0.9999999999899996,3.913112969615949,0.0,0.0,100.0,86.0,-0.3395400627651043,0.9573333333333331,0.9649523809523812,,,
atrialfibrillation,1,success,lraes,timesnet,0.273015873015873,0.125,-0.148015873015873,0.000126661128551,0.0269914398481011,1.0803339914354315,0.1290723126981133,0.9999999999899996,1.0436398834191232,0.0,0.0,21.0,16.0,-54.21509642121468,0.1666666666666666,0.2222222222222222,,,
basicmotions,1,success,lraes,timesnet,0.6794467787114845,0.8743069795701375,0.1948602008586529,0.000221095059593,0.0074748471650464,1.0863635911881004,0.1515564087336849,0.99999999999,4.414288785911918,0.0,0.0,20.0,100.0,28.679239976521703,0.6416666666666666,0.8666666666666667,,,
cricket,1,success,lraes,timesnet,0.8876193251193251,0.931082806082806,0.0434634809634808,0.0002222487258454,0.0130914203195392,1.1054620533622692,0.1610061360010859,0.9999999999899996,2.0181944375652288,0.0,0.0,100.0,100.0,4.896634721309523,0.9166666666666664,0.8722222222222222,,,
epilepsy,1,success,lraes,timesnet,0.446993006993007,0.6897536845077828,0.2427606775147758,0.0001568099273736,0.0041027922037952,1.076812615210463,0.1273463162309547,0.9999999999899994,1.4579571049529363,0.0,0.0,22.0,86.0,54.309713889743215,0.4820616883116883,0.5211675579322639,,,
ering,1,success,lraes,timesnet,0.9139765473615952,0.9282875832378872,0.0143110358762921,0.0001815096423668,0.0013190389817234,1.0920004277099995,0.1398108061678691,0.99999999999,1.0850636770009447,0.0,0.0,100.0,100.0,1.5657988546648578,0.7777777777777777,1.0,,,
ethanolconcentration,1,success,lraes,timesnet,0.2546507795483205,0.3460265826446647,0.0913758030963441,0.0001632443079242,5.444744402297201e-09,1.2135967385887687,0.2863691900281639,0.9999999999899996,1.165743966528321,0.0,0.0,31.0,61.0,35.882775374041245,0.3459291187739464,0.4478835978835979,,,
fingermovements,1,success,lraes,timesnet,0.4781212364512244,0.5398159263705482,0.0616946899193238,0.0004778014184651,6.712998209238954e-05,1.1092088052967943,0.2135169389393364,0.9999999999899998,6.124161271064866,0.0,0.0,19.0,18.0,12.903563429576751,0.6362737830491723,0.6405372405372405,,,
handmovementdirection,1,success,lraes,timesnet,0.4931426332288401,0.5740197675681546,0.0808771343393145,0.0002854077222149,1.1122313309765617e-07,1.080207469723537,0.1414795546670336,0.9999999999899996,0.9899009169526742,0.0,0.0,30.0,100.0,16.400350018294592,0.3690078037904125,0.553113553113553,,,
handwriting,1,success,lraes,timesnet,0.2832777240825196,0.1448994392910749,-0.1383782847914446,0.0001565939187167,0.0003234520867876,1.0773490300595934,0.1132255903616632,0.8510652833251628,0.2429830989535751,0.0,0.0,61.0,17.0,-48.84896487736884,0.2486111111111111,0.1055555555555555,,,
har,1,success,lraes,timesnet,0.8575369595721586,0.8902911454714907,0.0327541858993321,0.0002704276575282,2.9534476889832124,1.0512738079049448,0.1080725069570572,0.9896848139762924,1.2218957990441432,0.0,0.0,26.0,25.0,3.819565059459213,0.9411467602522944,0.942686970205514,,,
heartbeat,1,success,lraes,timesnet,0.5577660594439118,0.503030303030303,-0.0547357564136087,0.0007031334189723,9.57757843889157,1.0490557144482215,0.1230547788944927,0.9999999999899998,4.120208436999549,0.0,0.0,23.0,18.0,-9.813387830516614,0.5651515151515152,0.5176470588235295,,,
japanesevowels,1,failed,lraes,timesnet,,,,,,,,,,,,,,,,,"shape '[32, 1, 29, 32]' is invalid for input of size 32768",10.0,0.0
libras,1,success,lraes,timesnet,0.7309435130408459,0.7122572818384335,-0.0186862312024124,0.000128881840557,0.2538078242504996,1.0595618441774697,0.1197399556771339,0.9733887674806704,0.5275506714835868,0.0,0.0,80.0,100.0,-2.55645317491381,0.7320634920634922,0.7615873015873016,,,
motorimagery,1,success,lraes,timesnet,0.5015766453056658,0.4403970013726111,-0.0611796439330546,0.0007201425283773,0.0001057277444413,1.0927880620699972,0.1800358899048454,0.9999999999899996,5.862721856486682,0.0,0.0,51.0,19.0,-12.197464197781184,0.5664516129032258,0.4974358974358974,,,
natops,1,success,lraes,timesnet,0.8282384774027268,0.7459446587811698,-0.082293818621557,0.0004446924098581,2.9111204714710643,1.2602686253277493,0.3912233228924401,0.99999999999,5.820767181549378,0.0,0.0,100.0,21.0,-9.936004053279216,0.8397935397935398,0.7468919968919968,,,
pendigits,1,success,lraes,timesnet,0.9779330868949028,0.9782825220524602,0.0003494351575574,0.0001273656651686,1.4694899432914184e-07,1.0156951616028425,0.0244939321834158,0.1913791677330653,0.0441086306557393,0.0,0.0,25.0,23.0,0.0357320072823164,0.9973293350764758,0.9973296983657364,,,
racketsports,1,success,lraes,timesnet,0.8149265770983505,0.7883495785036881,-0.0265769985946623,0.0002215933375877,0.0001208970324325,1.0953205515820743,0.151927693754588,0.9999999999899996,2.143864856004255,0.0,0.0,66.0,57.0,-3.261274828956773,0.9409722222222222,0.9705882352941176,,,
selfregulationscp2,1,success,lraes,timesnet,0.4610944782246365,0.4943039733259239,0.0332094951012873,0.0002388627355389,1.158188713226713e-05,1.0705787100534536,0.1277997231134135,0.9999999999899998,0.4101357522299036,0.0,0.0,31.0,43.0,7.202317413740725,0.5989974937343359,0.6190476190476191,,,
uwavegesturelibrary,1,success,lraes,timesnet,0.855295567781729,0.8547487465881032,-0.0005468211936258,0.000157695714542,0.001673506504523,1.0866907289424832,0.1305591890380159,0.9238782910977644,0.539991542003117,0.0,0.0,63.0,100.0,-0.0639335862701179,0.91875,0.91875,,,
