anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
8,natops_train_177,0.5,mid,8,1.0,0.1,0.05,0.499999999995,4,1.0,0.05,0.025,0.49999999999,0.4999999999925,0,6.1108881533400465,0.0004459551605463786,6.352525446039843,0.00044106756797000735,6.231706799689945
8,natops_train_177,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,4,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,0,6.112554179824285,0.000457359526457207,6.35354335627406,0.000441305295771332,6.233048768049173
9,natops_train_53,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,9,1.0,0.05,0.0125,0.249999999995,0.24999999999625,2,5.910784750888362,0.0004417857475393269,6.048006181047388,0.00044152433788510466,5.979395465967874
9,natops_train_53,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,9,1.0,0.05,0.025,0.49999999999,0.4999999999925,2,5.910239418835003,0.00044481509686231997,6.048896880968551,0.0004421561536260265,5.979568149901777
9,natops_train_53,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,9,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,2,5.909279944836389,0.0004543207324878105,6.0503170060011975,0.00044319996667798914,5.979798475418793
10,natops_train_157,0.25,small,4,1.0,0.1,0.025,0.2499999999975,1,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,4,5.575499699195908,0.000442607918454311,5.489084277544057,0.00044085159303731524,5.532291988369982
10,natops_train_157,0.5,mid,4,1.0,0.1,0.05,0.499999999995,1,-1.0,0.05,0.025,0.49999999999,0.4999999999925,4,5.576025177783681,0.00044719284408744107,5.488198423793245,0.0004408913279481087,5.532111800788463
10,natops_train_157,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,1,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,4,5.5786121035333185,0.00046102811429784565,5.486796517758093,0.0004411558503572027,5.5327043106457054
11,natops_train_7,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,1,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,5.829986146221469,0.00044148764279454167,5.70364040571987,0.0004408270601430045,5.766813275970669
11,natops_train_7,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,1,-1.0,0.05,0.025,0.49999999999,0.4999999999925,5,5.82955701836126,0.00044404792729763374,5.702977464712298,0.00044079012089568033,5.766267241536779
11,natops_train_7,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,1,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,5.825993826501624,0.0004517582773211891,5.7019256639125775,0.0004408247408337205,5.763959745207101
12,natops_train_84,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,7,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,1,6.097862349363772,0.00044271025159020865,6.344644361881085,0.0004409673056332034,6.221253355622428
12,natops_train_84,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,7,-1.0,0.05,0.025,0.49999999999,0.4999999999925,1,6.099799581291414,0.0004478300309809143,6.34456545342459,0.00044104678436553233,6.222182517358002
12,natops_train_84,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,7,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,1,6.102921382786515,0.0004638597825213679,6.344437634301576,0.00044121640031522517,6.223679508544045
13,natops_train_48,0.25,small,2,1.0,0.1,0.025,0.2499999999975,2,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,0,5.739346404722027,0.00044209283698209696,5.914720943729308,0.00044098087732495926,5.827033674225667
13,natops_train_48,0.5,mid,2,1.0,0.1,0.05,0.499999999995,2,-1.0,0.05,0.025,0.49999999999,0.4999999999925,0,5.738601291386189,0.00044591008695100514,5.914139869782639,0.0004410777410962459,5.826370580584414
13,natops_train_48,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,2,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,0,5.737302323094371,0.000457870873025807,5.913212176208918,0.00044128317073520744,5.825257249651645
14,natops_train_175,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,9,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,3,5.713685176883109,0.00044152522131784845,5.562288675404746,0.00044031515925555085,5.6379869261439275
14,natops_train_175,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,9,-1.0,0.05,0.025,0.49999999999,0.4999999999925,3,5.711444707283339,0.00044379980114913156,5.56084616533405,0.0004397645462065208,5.636145436308695
14,natops_train_175,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,9,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,3,5.706657887018695,0.00045066770921370125,5.558527818108025,0.00043896779720821086,5.632592852563359
15,natops_train_77,0.25,small,6,1.0,0.1,0.025,0.2499999999975,9,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,2,5.613101805940663,0.00044204435803343726,5.883187387749064,0.00044030330137175493,5.748144596844863
