dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,scaling_low,scaling_high,mixup_alpha,dba_k,dba_max_iter,smote_k_neighbors,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
handmovementdirection,1,no_aug,success,,0.23844289670902574,0.23844289670902574,0.0,0,0.0,0.0,none,hard,resnet1d,True,False,none,True,none,0.5395413410119293,21,0,,,,,,,,,
handmovementdirection,1,raw_aug_jitter,success,,0.23844289670902574,0.2831229466628448,0.04468004995381908,1280,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.40821678321678323,20,0,,,,,,,,,
handmovementdirection,1,raw_aug_scaling,success,,0.23844289670902574,0.25382759223640494,0.0153846955273792,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_amplitude_uniform,0.44561403508771935,30,0,0.8,1.2,,,,,,,
handmovementdirection,1,raw_aug_timewarp,success,,0.23844289670902574,0.2951007326007326,0.056657835891706865,1280,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,0.423234126984127,11,0,,,,,,,,,
handmovementdirection,1,raw_mixup,success,,0.23844289670902574,0.2901713456493833,0.05172844894035755,1280,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.4519047619047619,21,0,,,0.4,,,,,,
handmovementdirection,1,dba_sameclass,success,,0.23844289670902574,0.3836378382993256,0.14519494159029983,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.5167542016806722,30,0,,,,5.0,5.0,,,,
handmovementdirection,1,raw_smote_flatten_balanced,success,,0.23844289670902574,0.23844289670902574,0.0,0,0.0,0.0,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,0.5395413410119293,21,0,,,,,,5.0,,,
handmovementdirection,1,random_cov_state,success,,0.23844289670902574,0.2978106676959372,0.05936777098691148,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.3897530165912519,20,0,,,,,,,1.1122564932851676e-07,,
handmovementdirection,1,pca_cov_state,success,,0.23844289670902574,0.3510470507753117,0.11260415406628593,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.3720588235294117,13,0,,,,,,,1.1122576163040905e-07,10.0,0.614203155040741
handmovementdirection,1,csta_top1_current,success,,0.2384428967090257,0.2792634996582365,0.040820602949210805,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.4893503555268261,14,0,,,,,,,,,
handmovementdirection,1,csta_group_template_top,success,,0.2384428967090257,0.2395241395241395,0.0010812428151138198,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,group_center_top_response,0.4215686274509804,17,0,,,,,,,,,
handmovementdirection,2,no_aug,success,,0.2030680813439434,0.2030680813439434,0.0,0,0.0,0.0,none,hard,resnet1d,True,False,none,True,none,0.3214285714285714,17,0,,,,,,,,,
handmovementdirection,2,raw_aug_jitter,success,,0.2030680813439434,0.319182693762761,0.11611461241881757,1280,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.4737394957983193,22,0,,,,,,,,,
handmovementdirection,2,raw_aug_scaling,success,,0.2030680813439434,0.264703425229741,0.06163534388579758,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_amplitude_uniform,0.4621760592348828,14,0,0.8,1.2,,,,,,,
handmovementdirection,2,raw_aug_timewarp,success,,0.2030680813439434,0.3136987281724124,0.11063064682846899,1280,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,0.5568627450980392,30,0,,,,,,,,,
handmovementdirection,2,raw_mixup,success,,0.2030680813439434,0.1471825063078217,-0.05588557503612171,1280,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.31513409961685823,16,0,,,0.4,,,,,,
handmovementdirection,2,dba_sameclass,success,,0.2030680813439434,0.3627874769179117,0.15971939557396828,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.500392785319256,29,0,,,,5.0,5.0,,,,
handmovementdirection,2,raw_smote_flatten_balanced,success,,0.2030680813439434,0.2030680813439434,0.0,0,0.0,0.0,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,0.3214285714285714,17,0,,,,,,5.0,,,
handmovementdirection,2,random_cov_state,success,,0.2030680813439434,0.24690934065934064,0.04384125931539723,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.38832833832833835,22,0,,,,,,,1.1118641264596458e-07,,
handmovementdirection,2,pca_cov_state,success,,0.2030680813439434,0.2567315286065286,0.05366344726258518,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.4083333333333333,14,0,,,,,,,1.1119543866528438e-07,10.0,0.6061246395111084
handmovementdirection,2,csta_top1_current,success,,0.2030680813439434,0.2448107448107448,0.04174266346680139,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.4606553147574819,23,0,,,,,,,,,
handmovementdirection,2,csta_group_template_top,success,,0.2030680813439434,0.2732747146834746,0.07020663333953117,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,group_center_top_response,0.4501893939393939,13,0,,,,,,,,,
handmovementdirection,3,no_aug,success,,0.18756284565108094,0.18756284565108094,0.0,0,0.0,0.0,none,hard,resnet1d,True,False,none,True,none,0.3456896551724138,15,0,,,,,,,,,
handmovementdirection,3,raw_aug_jitter,success,,0.18756284565108094,0.33529202279202275,0.1477291771409418,1280,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.41498778998778996,22,0,,,,,,,,,
handmovementdirection,3,raw_aug_scaling,success,,0.18756284565108094,0.30311973098688205,0.11555688533580111,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_amplitude_uniform,0.3193860877684407,12,0,0.8,1.2,,,,,,,
handmovementdirection,3,raw_aug_timewarp,success,,0.18756284565108094,0.34822065711330386,0.1606578114622229,1280,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,0.43446356275303644,25,0,,,,,,,,,
handmovementdirection,3,raw_mixup,success,,0.18756284565108094,0.20212355212355212,0.01456070647247118,1280,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.3166666666666667,12,0,,,0.4,,,,,,
handmovementdirection,3,dba_sameclass,success,,0.18756284565108094,0.3114495798319328,0.12388673418085183,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.42725202429149794,24,0,,,,5.0,5.0,,,,
handmovementdirection,3,raw_smote_flatten_balanced,success,,0.18756284565108094,0.18756284565108094,0.0,0,0.0,0.0,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,0.3456896551724138,15,0,,,,,,5.0,,,
handmovementdirection,3,random_cov_state,success,,0.18756284565108094,0.326324469181612,0.13876162353053106,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.28360423116615063,25,0,,,,,,,1.1147033529183393e-07,,
