dataset,seed,status,algo,model,pipeline,acl_aug_ce_mode,base_f1,act_f1,gain,warmup_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,base_stop_epoch,act_stop_epoch,warmup_stop_epoch,f1_gain_pct,base_best_val_f1,act_best_val_f1,warmup_best_val_f1,selected_anchor_count,selected_positive_count,candidate_total_count,hard_positive_score_mean,fidelity_score_mean,acl_last_ce_loss,acl_last_supcon_loss
har,1,success,lraes,resnet1d,gcg_acl,selected,0.9278257516377889,0.9452037900585535,0.017378038420764574,0.9323565058299262,0.000270834138555801,2.9532024398652563,1.0718552752502626,0.1413260755239398,0.982760513093674,1.2218957990441432,-0.0005713867582597528,0.503655840843394,20,15,10,1.872984934628523,0.9685275632288354,0.9655241077919522,0.9648148148148148,5881,5881,23524,0.06437140179304725,0.06709550732726623,0.08844987015523341,3.2077176778212837
har,2,success,lraes,resnet1d,gcg_acl,selected,0.906227243296466,0.9299618309623868,0.023734587665920848,0.9260614990681005,0.0002709201980671415,2.952979343230181,1.0727479315777835,0.14274238363684838,0.9835158881134226,1.2225869362678892,0.0006812049926119462,0.49978745111375616,20,20,10,2.6190544614979956,0.9772369738679149,0.9730301047506204,0.9685579196217494,5881,5881,23524,0.06396148275133175,0.06692567352152719,0.0819709591527024,3.201295590918997
har,3,success,lraes,resnet1d,gcg_acl,selected,0.9309707341156096,0.9302960614829566,-0.0006746726326529728,0.9301283713106233,0.000270852290385389,2.9527610645980342,1.0733904886219743,0.1437653494368606,0.9825959388072153,1.2285843992385725,0.0011002375224551438,0.497449413365074,20,20,10,-0.07246979260031156,0.9642643757402203,0.9667909239204047,0.9539161595262083,5881,5881,23524,0.06404488605387117,0.067004779780547,0.07878280163783094,3.1916091079297275
heartbeat,1,success,lraes,resnet1d,gcg_acl,selected,0.6950205653277326,0.6591406318368775,-0.035879933490855054,0.6216160787530763,0.0007032001358739007,9.578109319076635,1.0458111912727344,0.12189782105662825,0.9999999999989998,4.12020843699955,-0.0006180084782962879,0.5,19,11,10,-5.162426857327486,0.7054597701149425,0.7280766396462786,0.6917293233082706,163,163,652,0.012127612769367198,0.01214057004654938,0.19858399033546448,4.387338161468506
heartbeat,2,success,lraes,resnet1d,gcg_acl,selected,0.5337792642140469,0.6769618657421999,0.143182601528153,0.5521008403361345,0.00070357529735889,9.609041949244212,1.0486165868257873,0.1307836394583171,0.9999999999989998,3.83564772513341,0.002512023062873746,0.4831288343558282,11,18,10,26.824304408803712,0.5886287625418061,0.6554621848739496,0.6554621848739496,163,163,652,0.006894810988350531,0.008183266831827877,0.09254232545693715,4.191555897394816
heartbeat,3,success,lraes,resnet1d,gcg_acl,selected,0.6906199210587416,0.6915881737310309,0.0009682526722892826,0.6347701149425288,0.0007034353610214554,9.523235649773044,1.0453091775403627,0.12170990622457963,0.9999999999989998,4.251664563565001,0.006649300897514671,0.4677914110429448,14,12,10,0.14020049271159582,0.7759562841530054,0.7885040530582166,0.6693548387096775,163,163,652,0.009881361652769921,0.01146651872055622,0.23571623861789703,4.44847297668457
japanesevowels,1,success,lraes,resnet1d,gcg_acl,selected,0.9785233248335538,0.9802849766238967,0.001761651790342933,0.7395006986431971,0.0003272897020731057,2.461380965919503,1.4368640755245432,0.6474252179488482,0.999999999999,5.39467941258186,-0.00319268500876475,0.5104166666666666,20,20,10,0.18003164212881148,0.9813519813519815,0.9628334628334628,0.7226625226625227,216,216,864,0.10125479057070966,0.10708999893620783,0.015549928997643292,2.3888021111488342
japanesevowels,2,success,lraes,resnet1d,gcg_acl,selected,0.9684477155997091,0.9775803793645808,0.009132663764871651,0.8563296582681912,0.0003240382870599582,2.442835716895778,1.379905447519096,0.5725425221185911,0.999999999999,5.356552218080175,0.0029691382207804257,0.4664351851851852,20,20,10,0.9430207407939962,1.0,1.0,0.8594010278220805,216,216,864,0.10336021528908537,0.10791693027802939,0.010639672633260489,2.376338839530945
japanesevowels,3,success,lraes,resnet1d,gcg_acl,selected,0.9506310712844582,0.9716663365002789,0.021035265215820664,0.8868777394419793,0.00032701162878851934,2.44248917715121,1.4363811212301125,0.6430988106602471,0.999999999999,5.378469125136333,0.005763042493156347,0.4837962962962963,20,20,10,2.2127683008120362,0.9813519813519815,1.0,0.9474747474747475,216,216,864,0.1048761266168658,0.10766403444779844,0.04762702831067145,2.4931378960609436
libras,1,success,lraes,resnet1d,gcg_acl,selected,0.8048293924342743,0.8143939900938498,0.009564597659575513,0.08295618911003526,0.00012865797978995288,0.25263583939068707,1.0746630580583965,0.12146935151947928,0.9634705525123997,0.5275506714835869,-0.0017301892852022622,0.4965277777777778,20,20,10,1.188400493456892,0.8558730158730159,0.9015873015873017,0.06476190476190477,144,144,576,0.5918547459729256,0.8340539379853106,0.15374710659186044,1.762195626894633
