dataset,seed,arm,class_id,prototype_id,fit_anchor_count,fit_anchor_margin_mean,fit_anchor_same_dist_mean,anchor_coverage_ratio_mean,weight_mean,weight_min,weight_max,effective_sample_size,effective_sample_ratio,weight_scale,weight_kernel_name,fallback_unweighted
natops,1,c1_mean_dist_weighted_a2r,3,2,8,0.3082215927017101,5.659951445704815,,0.3680675771135189,0.3480107836473773,0.38252619378257,7.991929433414346,0.9989911791767933,5.659951445704815,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,3,3,8,0.3782925220005946,5.443792992478468,,0.3679282892563227,0.3615823678658036,0.3755911287061794,7.997873959256125,0.9997342449070157,5.443792992478468,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,4,0,8,0.16860734398824007,5.5392778531031865,,0.3680064119755497,0.3582445915651028,0.38425897541750476,7.994406636159875,0.9993008295199843,5.5392778531031865,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,4,1,8,0.5781129782054254,5.201372092565393,,0.368794638254515,0.3247417676644856,0.38710569854023186,7.96250272211849,0.9953128402648113,5.201372092565393,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,4,2,8,0.48910183339944746,5.30459588039013,,0.36794344592826167,0.3555612022388256,0.37621314895272046,7.997235233345276,0.9996544041681595,5.30459588039013,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,4,3,8,0.8333842454178233,5.6624209184709215,,0.3681342950142885,0.34573138761507455,0.3903425094896924,7.988906908936189,0.9986133636170236,5.6624209184709215,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,5,0,8,2.263090359487519,4.902410822182109,,0.3679103528507506,0.36123115983412163,0.3770651622487685,7.998651585988807,0.9998314482486009,4.902410822182109,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,5,1,8,2.7916580640797006,5.389351593903922,,0.36798401629780564,0.3541215485155875,0.3795330746260505,7.995499028350685,0.9994373785438356,5.389351593903922,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,5,2,8,1.2400131757563835,5.707639463858037,,0.36788904871257083,0.36378925185098493,0.3724813017987814,7.999582223784168,0.999947777973021,5.707639463858037,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,5,3,8,2.404310571405978,5.405568880855812,,0.3679426504760803,0.3580646025035989,0.3758994175144084,7.997261442784963,0.9996576803481204,5.405568880855812,exp_distance_over_mean,False
