split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,solve_mode,support_mode,prototype_aggregation,input_norm_mode,mean_trace,condition_number,effective_ridge,weight_norm
train,1,0,-1,3,fixed,pinv,same_only,pooled,none,0.0078125,95510008.0,0.0,1.0234638452529907
train,1,0,-1,4,fixed,pinv,same_only,pooled,none,0.0078125,95511136.0,0.0,1.0234636068344116
train,1,0,-1,5,fixed,pinv,same_only,pooled,none,0.0078125,95511352.0,0.0,1.0234636068344116
train,1,0,-1,6,fixed,pinv,same_only,pooled,none,0.0078125,95507800.0,0.0,1.0234636068344116
train,1,0,-1,7,fixed,pinv,same_only,pooled,none,0.0078125,95512864.0,0.0,1.023463487625122
train,1,0,-1,8,fixed,pinv,same_only,pooled,none,0.0078125,95513520.0,0.0,1.0234636068344116
train,1,0,-1,9,fixed,pinv,same_only,pooled,none,0.007812499534338713,95510296.0,0.0,1.0234639644622803
train,1,0,-1,10,fixed,pinv,same_only,pooled,none,0.007812499534338713,95511472.0,0.0,1.0234636068344116
train,1,0,-1,11,fixed,pinv,same_only,pooled,none,0.0078125,95511528.0,0.0,1.0234639644622803
train,1,0,-1,12,fixed,pinv,same_only,pooled,none,0.007812499534338713,95507304.0,0.0,1.023463487625122
train,1,0,-1,13,fixed,pinv,same_only,pooled,none,0.0078125,95509936.0,0.0,1.023463487625122
train,1,0,-1,14,fixed,pinv,same_only,pooled,none,0.0078125,95509136.0,0.0,1.0234640836715698
train,1,0,-1,15,fixed,pinv,same_only,pooled,none,0.0078125,95510928.0,0.0,1.023463487625122
train,1,0,-1,16,fixed,pinv,same_only,pooled,none,0.0078125,95512416.0,0.0,1.0234637260437012
train,1,0,-1,17,fixed,pinv,same_only,pooled,none,0.0078125,95513080.0,0.0,1.0234636068344116
train,1,0,-1,18,fixed,pinv,same_only,pooled,none,0.0078125,95513272.0,0.0,1.0234636068344116
train,1,0,-1,19,fixed,pinv,same_only,pooled,none,0.0078125,95512880.0,0.0,1.023463487625122
train,1,0,-1,20,fixed,pinv,same_only,pooled,none,0.007812499534338713,95510600.0,0.0,1.0234637260437012
train,1,0,-1,21,fixed,pinv,same_only,pooled,none,0.007812499534338713,95511144.0,0.0,1.0234639644622803
train,1,0,-1,22,fixed,pinv,same_only,pooled,none,0.0078125,95509336.0,0.0,1.0234633684158325
train,1,0,-1,23,fixed,pinv,same_only,pooled,none,0.0078125,95513448.0,0.0,1.023463487625122
train,1,0,-1,24,fixed,pinv,same_only,pooled,none,0.0078125,95513256.0,0.0,1.0234636068344116
train,1,0,-1,25,fixed,pinv,same_only,pooled,none,0.0078125,95511504.0,0.0,1.0234638452529907
