dataset,method,macro_f1_mean,macro_f1_std_over_seeds,gain_vs_no_aug,rank_in_dataset,is_dataset_winner,gap_vs_best_external_dataset,actual_aug_ratio,method_elapsed_sec_mean,fallback_count_mean,n_seeds,best_external_method,best_external_f1
natops,raw_aug_timewarp,0.9432313199163264,0.031479676873337616,0.021588787633150197,13.0,False,-0.019321142547094605,10.0,,,3,best_rawaug,0.962552462463421
natops,raw_aug_window_warping,0.9405264176909055,0.01723756073393078,0.01888388540772934,14.0,False,-0.022026044772515463,10.0,3.1088260163281425,0.0,3,best_rawaug,0.962552462463421
natops,raw_mixup,0.9296079267520693,0.01817994816978873,0.007965394468893106,15.0,False,-0.0329445357113517,10.0,,,3,best_rawaug,0.962552462463421
natops,no_aug,0.9216425322831762,0.01515792484574601,0.0,16.5,False,-0.0409099301802448,0.0,,,3,best_rawaug,0.962552462463421
natops,raw_smote_flatten_balanced,0.9216425322831762,0.01515792484574601,0.0,16.5,False,-0.0409099301802448,0.0,,,3,best_rawaug,0.962552462463421
racketsports,raw_mixup,0.9065936439644634,0.007330762640486472,0.036986144292439294,1.0,True,0.0,10.0,,,3,raw_mixup,0.9065936439644634
racketsports,raw_aug_timewarp,0.9010889846487858,0.009282679736577551,0.03148148497676173,2.0,False,-0.0055046593156775625,10.0,,,3,raw_mixup,0.9065936439644634
racketsports,spawner_sameclass_style,0.8972098246658815,0.012576425329024993,0.027602324993857397,3.0,False,-0.009383819298581897,10.0,3.7231521936676777,0.0,3,raw_mixup,0.9065936439644634
racketsports,wdba_sameclass,0.8968577312346774,0.012581804056452916,0.02725023156265327,4.0,False,-0.009735912729786023,10.0,8.070160734001547,0.0,3,raw_mixup,0.9065936439644634
racketsports,csta_group_template_top,0.8922015072213133,0.0254972938419194,0.022594007549289197,5.0,False,-0.014392136743150097,10.0,,,3,raw_mixup,0.9065936439644634
racketsports,best_rawaug,0.8887378023793523,0.018058343281367278,0.019130302707328184,6.0,False,-0.01785584158511111,10.0,3.8794093659962527,0.0,3,raw_mixup,0.9065936439644634
racketsports,random_cov_state,0.8846388859417199,0.012082812432002751,0.015031386269695801,7.0,False,-0.021954758022743492,10.0,,,3,raw_mixup,0.9065936439644634
racketsports,raw_aug_window_slicing,0.8841151229652469,0.011466900141578652,0.014507623293222749,8.0,False,-0.022478520999216545,10.0,2.3439851273336294,0.0,3,raw_mixup,0.9065936439644634
racketsports,raw_aug_window_warping,0.883870893427125,0.045140950123942356,0.014263393755100884,9.0,False,-0.02272275053733841,10.0,2.5579545049986336,0.0,3,raw_mixup,0.9065936439644634
racketsports,raw_aug_magnitude_warping,0.8804482055344324,0.0041812079395846715,0.010840705862408262,10.0,False,-0.02614543843003103,10.0,3.364921267328706,0.0,3,raw_mixup,0.9065936439644634
racketsports,pca_cov_state,0.8798842950588853,0.01991009129423339,0.010276795386861215,11.0,False,-0.02670934890557808,10.0,,,3,raw_mixup,0.9065936439644634
racketsports,dba_sameclass,0.872503601911864,0.005570079636005558,0.002896102239839937,12.0,False,-0.034090042052599356,10.0,,,3,raw_mixup,0.9065936439644634
racketsports,csta_top1_current,0.8721055206171656,0.020839551263019923,0.0024980209451415103,13.0,False,-0.03448812334729778,10.0,,,3,raw_mixup,0.9065936439644634
racketsports,raw_aug_jitter,0.8713085794059318,0.01096807213178118,0.001701079733907651,14.0,False,-0.03528506455853164,10.0,,,3,raw_mixup,0.9065936439644634
racketsports,no_aug,0.8696074996720241,0.013229632397157179,0.0,15.0,False,-0.036986144292439294,0.0,,,3,raw_mixup,0.9065936439644634
racketsports,raw_aug_scaling,0.8669590239709484,0.01578340698638265,-0.0026484757010757365,16.0,False,-0.03963461999351503,10.0,,,3,raw_mixup,0.9065936439644634
racketsports,raw_smote_flatten_balanced,0.8532594849761908,0.0023617088907336658,-0.016348014695833357,17.0,False,-0.05333415898827265,0.1333333333333333,,,3,raw_mixup,0.9065936439644634
