anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
19,handwriting_train_134,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,9,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,7.435569559681898e-05,0.00016169974032014602,0.00045573259167391996,0.00015255632674547828,0.0002650441436353695
20,handwriting_train_65,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,1,1.0,0.05,0.0125,0.249999999995,0.24999999999625,25,0.00035721185456117597,0.00015559435047622684,0.0034659913268301023,0.0001557645158986189,0.001911601590695639
20,handwriting_train_65,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,1,1.0,0.05,0.025,0.49999999999,0.4999999999925,25,0.0003561160343893581,0.0001555327436414641,0.0034637460979108636,0.00015568036219093542,0.001909931066150111
20,handwriting_train_65,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,1,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,25,0.00035427283578289405,0.00015590309586579584,0.0034599939955640593,0.00015561922418741566,0.0019071334156734766
21,handwriting_train_138,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,5,1.0,0.05,0.0125,0.249999999995,0.24999999999625,6,7.913300764681262e-05,0.00015429691693482375,0.000770371152190976,0.0001570878502349585,0.00042475207991889434
21,handwriting_train_138,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,5,1.0,0.05,0.025,0.49999999999,0.4999999999925,6,7.889825707212718e-05,0.00015281116923012485,0.0007711173266254443,0.00015830641210493512,0.00042500779184878574
21,handwriting_train_138,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,5,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,6,7.850970886190967e-05,0.00015064340579649602,0.0007722994379292928,0.00016028844092319414,0.00042540457339560123
22,handwriting_train_59,0.25,small,9,1.0,0.1,0.025,0.2499999999975,5,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,6.620278028703544e-05,0.0001562028685614555,0.0018542092467608313,0.00015469633183429844,0.0009602060135239334
22,handwriting_train_59,0.5,mid,9,1.0,0.1,0.05,0.499999999995,5,-1.0,0.05,0.025,0.49999999999,0.4999999999925,5,6.636386726560067e-05,0.0001566837115385214,0.001852798758459662,0.00015352278740244849,0.0009595813128626314
22,handwriting_train_59,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,5,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,6.661060780405024e-05,0.00015778235296228822,0.0018505274189660132,0.00015167522760978254,0.0009585690133850317
23,handwriting_train_128,0.25,small,9,1.0,0.1,0.025,0.2499999999975,1,1.0,0.05,0.0125,0.249999999995,0.24999999999625,9,5.869853322184213e-05,0.0001562015700866417,0.0007291358203607554,0.00015576259678503214,0.00039391717679129875
23,handwriting_train_128,0.5,mid,9,1.0,0.1,0.05,0.499999999995,1,1.0,0.05,0.025,0.49999999999,0.4999999999925,9,5.860855273446617e-05,0.00015667855417662125,0.0007297021774084811,0.00015567287364842691,0.00039415536507147363
23,handwriting_train_128,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,1,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,9,5.845367228390187e-05,0.00015776600477832337,0.0007305930430061527,0.0001555954377783018,0.0003945233576450273
24,handwriting_train_70,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,8,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,9,6.310595606741222e-05,0.00015556921335573598,0.001954533744202325,0.00015547317585232353,0.0010088198501348685
