dataset,label,arm,prototype_geometry_mode,subproto_temperature,run_dir,local_acc,final_acc,final_override_rate,helpful_override_rate,harmful_override_rate,subproto_weight_entropy_mean,same_weight_max_mean,subproto_cos_top1_top2_gap_mean,subproto_top1_occupancy_entropy,subproto_usage_effective_count,subproto_pairwise_cos_mean
heartbeat,center_subproto_tau0.5,e2,center_subproto,0.5,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p5_heartbeat_seed1,0.6487804878048781,0.5170731707317073,0.03902439024390244,0.024390243902439025,0.014634146341463415,0.9985175202532512,0.2714406365301551,0.030859289645421797,0.7046002200635781,2.6558992871963643,0.6292444169521332
heartbeat,center_subproto_tau0.2,e2,center_subproto,0.2,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p2_heartbeat_seed1,0.47804878048780486,0.35121951219512193,0.004878048780487805,0.004878048780487805,0.0,0.9918734925549205,0.29767560784409686,0.022311450843131398,0.7738647111786696,2.9235665300953793,0.622604101896286
heartbeat,center_subproto_tau0.1,e2,center_subproto,0.1,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p1_heartbeat_seed1,0.6439024390243903,0.5414634146341464,0.04390243902439024,0.03902439024390244,0.004878048780487805,0.9665592411669289,0.3455421043605339,0.024095286426656856,0.8035521305614474,3.046397629439582,0.6539924442768097
selfregulationscp2,E0,e0,flat,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e0/stage2_resnet1d_e0_behavioral_selfregulationscp2_seed1,,0.5277777777777778,,,,,,,,,
selfregulationscp2,center_only,e2,center_only,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_only_selfregulationscp2_seed1,0.55,0.5388888888888889,0.027777777777777776,0.016666666666666666,0.011111111111111112,0.0,1.0,0.0,0.0,1.0,1.0
selfregulationscp2,center_subproto_tau1.0,e2,center_subproto,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau1p0_selfregulationscp2_seed1,0.5277777777777778,0.5166666666666667,0.06111111111111111,0.044444444444444446,0.016666666666666666,0.999268600013521,0.2644113434685601,0.039093381000889674,0.615801899208127,2.3482789553847065,0.6335217654705048
selfregulationscp2,center_subproto_tau0.5,e2,center_subproto,0.5,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p5_selfregulationscp2_seed1,0.5388888888888889,0.5222222222222223,0.05555555555555555,0.03333333333333333,0.022222222222222223,0.9971537338362799,0.27729439669185213,0.029441706080817514,0.736083441670824,2.774382845654566,0.6312038004398346
selfregulationscp2,center_subproto_tau0.2,e2,center_subproto,0.2,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p2_selfregulationscp2_seed1,0.55,0.55,0.03888888888888889,0.022222222222222223,0.016666666666666666,0.9843126856618457,0.318772188325723,0.036247295286092496,0.608092320159893,2.323314789428781,0.6337766051292419
selfregulationscp2,center_subproto_tau0.1,e2,center_subproto,0.1,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p1_selfregulationscp2_seed1,0.5055555555555555,0.4777777777777778,0.05,0.03333333333333333,0.016666666666666666,0.9394183572795656,0.37513964341746436,0.02274694869087802,0.6554246453821949,2.480875420513447,0.6299636960029602
libras,E0,e0,flat,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e0/stage2_resnet1d_e0_behavioral_libras_seed1,,0.9,,,,,,,,,
libras,center_only,e2,center_only,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_only_libras_seed1,0.7833333333333333,0.8555555555555555,0.027777777777777776,0.0,0.016666666666666666,0.0,1.0,0.0,0.0,1.0,1.0
libras,center_subproto_tau1.0,e2,center_subproto,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau1p0_libras_seed1,0.95,0.9388888888888889,0.005555555555555556,0.005555555555555556,0.0,0.9995130866765976,0.26158693979183834,0.032542956868807475,0.9447819534791972,3.705232073084795,0.516265215476354
libras,center_subproto_tau0.5,e2,center_subproto,0.5,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p5_libras_seed1,0.9444444444444444,0.9444444444444444,0.005555555555555556,0.0,0.005555555555555556,0.9978918757703569,0.2736231327056885,0.030608817603853013,0.9482542202038864,3.7231105132593494,0.49809661706288655
libras,center_subproto_tau0.2,e2,center_subproto,0.2,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p2_libras_seed1,0.9444444444444444,0.9444444444444444,0.005555555555555556,0.0,0.0,0.9871794803275002,0.3110927196012603,0.032569541326827475,0.9568704431141928,3.7678483142905614,0.5167451739311218
libras,center_subproto_tau0.1,e2,center_subproto,0.1,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p1_libras_seed1,0.8166666666666667,0.8333333333333334,0.016666666666666666,0.005555555555555556,0.011111111111111112,0.9538701683282852,0.3678791746497154,0.030934794412718878,0.9240035352727733,3.6000253625984726,0.5017038106918335
japanesevowels,E0,e0,flat,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e0/stage2_resnet1d_e0_behavioral_japanesevowels_seed1,,0.9783783783783784,,,,,,,,,
japanesevowels,center_only,e2,center_only,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_only_japanesevowels_seed1,0.8729729729729729,0.9351351351351351,0.013513513513513514,0.0,0.013513513513513514,0.0,1.0,0.0,0.0,1.0,1.0
japanesevowels,center_subproto_tau1.0,e2,center_subproto,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau1p0_japanesevowels_seed1,0.9702702702702702,0.9783783783783784,0.0,0.0,0.0,0.9995101495369061,0.26020415683050413,0.02088079903576825,0.8798015646566852,3.3860496536062454,0.6450962291823493
japanesevowels,center_subproto_tau0.5,e2,center_subproto,0.5,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p5_japanesevowels_seed1,0.981081081081081,0.981081081081081,0.0,0.0,0.0,0.998070093264451,0.2717466233549891,0.024326117880441048,0.8909608318080338,3.438839215597331,0.6457280251714919
japanesevowels,center_subproto_tau0.2,e2,center_subproto,0.2,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p2_japanesevowels_seed1,0.9864864864864865,0.9891891891891892,0.0,0.0,0.0,0.986899426337835,0.3070180366168151,0.02597944315623593,0.9374753352401473,3.667890755888874,0.6457065542538961
japanesevowels,center_subproto_tau0.1,e2,center_subproto,0.1,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p1_japanesevowels_seed1,0.9864864864864865,0.9864864864864865,0.0,0.0,0.0,0.9526447665047001,0.3619798048122509,0.022992898000253212,0.8999919748679445,3.4821635132197954,0.6448559429910448
cricket,E0,e0,flat,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e0/stage2_resnet1d_e0_behavioral_cricket_seed1,,0.9722222222222222,,,,,,,,,
cricket,center_only,e2,center_only,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_only_cricket_seed1,0.9861111111111112,0.9861111111111112,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
cricket,center_subproto_tau1.0,e2,center_subproto,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau1p0_cricket_seed1,0.9861111111111112,0.9861111111111112,0.0,0.0,0.0,0.9996150607864062,0.2590407443543275,0.02184198300043742,0.9754324344564792,3.8660622537494485,0.5746466517448425
