dataset,seed,class_id,prototype_id,trial_id,window_index,opp_class_id,opp_prototype_id,same_dist,opp_dist,epsilon_local,margin_before,margin_after,margin_gain,orig_local_step,shaped_local_step,local_step_distortion_ratio
selfregulationscp1,1,0,2,selfregulationscp1_train_n00092,368,1,2,0.6390988988203055,0.48781788740092175,0.048781788740092175,-0.15128101141938372,-0.1496087358573287,0.0016722755620550145,0.05086913922299685,0.0583708085483431,1.1474699481833361
selfregulationscp1,1,0,2,selfregulationscp1_train_n00092,361,1,2,0.6219452368208306,0.47147225718814906,0.04714722571881491,-0.15047297963268152,-0.1487194084374519,0.0017535711952296196,0.04361479548268928,0.05003589908639376,1.1472230588872763
selfregulationscp1,1,0,3,selfregulationscp1_train_n00128,255,1,3,0.6291221890503461,0.5274843453426737,0.05274843453426738,-0.10163784370767237,-0.10100223963217081,0.0006356040755015613,0.04140835523493503,0.06533549189133324,1.5778335439948017
selfregulationscp1,1,0,3,selfregulationscp1_train_n00128,254,1,3,0.6163508338351319,0.5148326943477304,0.05148326943477304,-0.10151813948740152,-0.10086668461365184,0.0006514548737496795,0.04193496295335575,0.04652464747638081,1.1094476827875148
selfregulationscp1,1,0,3,selfregulationscp1_train_n00128,261,1,3,0.6802660963924478,0.578824348643425,0.057882434864342504,-0.10144174774902281,-0.10083656350828551,0.0006051842407372998,0.03294276417430529,0.06431190554887588,1.9522316102131436
selfregulationscp1,1,0,3,selfregulationscp1_train_n00128,260,1,3,0.6754153663615197,0.5741383008681196,0.05741383008681196,-0.1012770654934001,-0.10066143831707819,0.000615627176321909,0.03323862456228808,0.04556688207327248,1.3709015542409602
selfregulationscp1,1,0,3,selfregulationscp1_train_n00128,256,1,3,0.6413589205415579,0.5400953044861911,0.054009530448619114,-0.10126361605536671,-0.10062125504694563,0.0006423610084210774,0.03913119093240411,0.05503899331079478,1.406524871831018
selfregulationscp1,1,0,3,selfregulationscp1_train_n00128,262,1,3,0.6816854668079981,0.5804625503198165,0.05804625503198166,-0.1012229164881816,-0.10060961771590315,0.0006132987722784478,0.03260849961488331,0.0463987538894359,1.4229036735029166
selfregulationscp1,1,0,3,selfregulationscp1_train_n00128,248,1,3,0.5128231026676158,0.41176607363372647,0.04117660736337265,-0.1010570290338893,-0.10028221235582596,0.0007748166780633392,0.04003329740440436,0.053560688672135544,1.3379034989569192
selfregulationscp1,1,0,3,selfregulationscp1_train_n00128,259,1,3,0.6696288735836895,0.5686310721353132,0.05686310721353132,-0.10099780144837633,-0.10036606384376334,0.0006317376046129919,0.03388715781805372,0.04451021036342963,1.3134831372525544
