dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,diffusionts_max_epochs,target_aug_ratio,timevqvae_vqvae_epochs,timevqvae_maskgit_epochs
racketsports,3,diffusionts_classwise,success,,0.8843719087962982,0.8587093433702249,-0.0256625654260733,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.9409722222222222,30,0,0,30.073180214036256,,,,200.0,10.0,,
atrialfibrillation,1,timevqvae_classwise,success,,0.2164502164502164,0.264069264069264,0.0476190476190476,120,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.5555555555555555,13,0,0,48.364595966995694,,,,,10.0,200.0,200.0
atrialfibrillation,2,timevqvae_classwise,success,,0.3205128205128205,0.2644688644688645,-0.056043956043956,120,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,1.0,30,0,0,36.35307176597416,,,,,10.0,200.0,200.0
atrialfibrillation,3,timevqvae_classwise,success,,0.1666666666666666,0.1555555555555555,-0.0111111111111111,120,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,1.0,30,0,0,33.590385495102964,,,,,10.0,200.0,200.0
ering,1,timevqvae_classwise,success,,0.5424850558740912,0.5483328836109823,0.005847827736891,240,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.7777777777777777,30,0,0,32.65269949892536,,,,,10.0,200.0,200.0
ering,2,timevqvae_classwise,success,,0.848105426301868,0.7605917783502552,-0.0875136479516128,240,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,1.0,30,0,0,12.734003348974513,,,,,10.0,200.0,200.0
ering,3,timevqvae_classwise,success,,0.8501737413578302,0.799203680930544,-0.0509700604272862,240,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.7777777777777778,18,0,0,15.070828672032803,,,,,10.0,200.0,200.0
handmovementdirection,1,timevqvae_classwise,success,,0.2384428967090257,0.2731307826956739,0.0346878859866481,1280,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.3617395676219206,24,0,0,62.651998696965165,,,,,10.0,200.0,200.0
handmovementdirection,2,timevqvae_classwise,success,,0.2030680813439434,0.2783211370672671,0.0752530557233236,1280,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.3042763157894737,15,0,0,53.220652510994114,,,,,10.0,200.0,200.0
handmovementdirection,3,timevqvae_classwise,success,,0.1875628456510809,0.3834989661842193,0.1959361205331383,1280,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.3599206349206349,30,0,0,55.49283487594221,,,,,10.0,200.0,200.0
handwriting,1,timevqvae_classwise,success,,0.382737297846506,0.2414872124250786,-0.1412500854214274,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.1986666666666666,24,0,0,58.112403857987374,,,,,10.0,200.0,200.0
handwriting,2,timevqvae_classwise,success,,0.4136709560472157,0.25685732083353,-0.1568136352136857,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.3138888888888888,30,0,0,30.119992312975228,,,,,10.0,200.0,200.0
handwriting,3,timevqvae_classwise,success,,0.4038917991696072,0.2537441137021084,-0.1501476854674988,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.2875,30,0,0,27.670563814928755,,,,,10.0,200.0,200.0
japanesevowels,1,timevqvae_classwise,success,,0.9561456014766324,0.9217558696237604,-0.0343897318528719,2160,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.9236467236467236,17,0,0,45.657880740007386,,,,,10.0,200.0,200.0
japanesevowels,2,timevqvae_classwise,success,,0.9741476029508114,0.9296896113418084,-0.0444579916090028,2160,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,1.0,30,0,0,42.35994098498486,,,,,10.0,200.0,200.0
japanesevowels,3,timevqvae_classwise,success,,0.9681596726696928,0.9417182020744612,-0.0264414705952318,2160,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.9627039627039627,30,0,0,42.9579573069932,,,,,10.0,200.0,200.0
natops,1,timevqvae_classwise,success,,0.9373000436629222,0.8848931529357992,-0.052406890727123,1440,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.945887445887446,30,0,0,37.985368759022094,,,,,10.0,200.0,200.0
natops,2,timevqvae_classwise,success,,0.9070392331641024,0.8973948339301262,-0.0096443992339761,1440,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.916083916083916,19,0,0,34.123863923945464,,,,,10.0,200.0,200.0
natops,3,timevqvae_classwise,success,,0.920588320022504,0.8953464274743892,-0.0252418925481147,1440,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.8626262626262626,30,0,0,72.98539988195989,,,,,10.0,200.0,200.0
